"","","p","Academia Econ. Pap.","","|","Academia Economic Papers"
"","","p","Acc. Rev.","","|","Accounting Review"
"","","p","Acc., Bus. Finan. Hist.","","|","Accounting, Business and Financial History"
"","","p","ACES Bull.","","|","ACES Bulletin"
"","","p","Acta Oecon.","","|","Acta Oeconomica"
"","","p","Advanc. Cons. Interest","","|","Advancing the Consumer Interest"
"","","p","African Devel. Rev./Revue Africaine Devel.","","|","African Development Review/Revue Africaine de Developpement"
"","","p","African Econ. Hist. ","","|","African Economic History"
"","","p","African Finance J.","","|","African Finance Journal"
"","","p","Afrika Spec.","","|","Afrika Spectrum"
"","","p","Agenda","","|","Agenda"
"","","p","Agribusiness","","|","Agribusiness"
"","","p","Agr. Resource Econ. Rev.","","|","Agricultural and Resource Economics Review"
"","","p","Agr. Econ. Res.","","|","Agricultural Economics Research"
"","","p","Agr. Econ.","","|","Agricultural Economics"
"","","p","Agr. Finance Rev.","","|","Agricultural Finance Review"
"","","p","Agr. Human Values","","|","Agriculture and Human Values"
"","","p","Agr. Resources Quart.","","|","Agriculture and Resources Quarterly"
"","","p","Agronomia Mesoamericana","","|","Agronomia Mesoamericana"
"","","p","Allgemeines Statistisches Arch./J. German Statistical Society","","|","Allgemeines Statistisches Archiv/Journal of the German Statistical Society"
"","","p","Amer. Econ. Rev.","","|","American Economic Review"
"","","p","Amer. Economist","","|","American Economist"
"","","p","Amer. Enterprise","","|","American Enterprise"
"","","p","Amer. Historical Rev.","","|","American Historical Review"
"","","p","Amer. J. Agr. Econ.","","|","American Journal of Agricultural Economics"
"","","p","Amer. J. Econ. Sociology","","|","American Journal of Economics and Sociology"
"","","p","Amer. Law Econ. Rev.","","|","American Law and Economics Review"
"","","p","Amer. Polit. Sci. Rev.","","|","American Political Science Review"
"","","p","Amer. Prospect","","|","American Prospect"
"","","p","Amer. Real Estate Urban Econ. Assoc. J.","","|","American Real Estate and Urban Economics Association Journal"
"","","p","Amer. Statistician","","|","American Statistician"
"","","p","Anal. Prevision","","|","Analyse Prevision"
"","","p","Ann. Econ. Statist.","","|","Annales d'Economie et de Statistique"
"","","p","Ann. INSEE","","|","Annales de l'INSEE"
"","","p","Ann. Sci. Econ. Appl.","","|","Annales de Sciences Economiques Appliques"
"","","p","Ann. Fac. Econ. Com., Univ. Palermo","","|","Annali della facolta di Economia e Commercio, Universita Palermo"
"","","p","Ann. Econ. Soc. Meas.","","|","Annals of Economic and Social Measurement"
"","","p","Ann. Econ. Finance","","|","Annals of Economics and Finance"
"","","p","Ann. Public Coop. Econ.","","|","Annals of Public and Cooperative Economics"
"","","p","Ann. Reg. Sci.","","|","Annals of Regional Science"
"","","p","Ann. Amer. Acad. Polit. Soc. Sci.","","|","Annals of the American Academy of Political and Social Science"
"","","p","Antitrust Bull.","","|","Antitrust Bulletin"
"","","p","Antitrust Law Econ.","","|","Antitrust Law and Economics Review"
"","","p","Appl. Econ. Letters","","|","Applied Economics Letters"
"","","p","Appl. Econ.","","|","Applied Economics"
"","","p","Appl. Finan. Econ.","","|","Applied Financial Economics"
"","","p","Appl. Geogr. Devel.","","|","Applied Geography and Development"
"","","p","Appl. Math. Finance","","|","Applied Mathematical Finance"
"","","p","Aquaculture Econ. Manage.","","|","Aquaculture Economics and Management"
"","","p","Archives Econ. Hist.","","|","Archives of Economic History"
"","","p","Arquivo Inst.","","|","Arquivo do Instituto Gulbenkian de Ciencia"
"","","p","Artha-Vikas","","|","Artha-Vikas"
"","","p","Arthaniti","","|","Arthaniti"
"","","p","ASEAN Econ. Bull.","","|","ASEAN Economic Bulletin"
"","","p","Asia Pacific Bus. Rev. ","","|","Asia Pacific Business Review"
"","","p","Asia Pacific J. Econ. Bus.","","|","Asia Pacific Journal of Economics and Business"
"","","p","Asia-Pacific Devel. J.","","|","Asia-Pacific Development Journal"
"","","p","Asia-Pacific Econ. Rev.","","|","Asia-Pacific Economic Review"
"","","p","Asia-Pacific Finan. Markets","","|","Asia-Pacific Financial Markets"
"","","p","Asian Devel. Rev.","","|","Asian Development Review"
"","","p","Asian Econ. J.","","|","Asian Economic Journal"
"","","p","Asian Econ. Rev.","","|","Asian Economic Review"
"","","p","Asian J. Agr. Econ.","","|","Asian Journal of Agricultural Economics"
"","","p","Asian-Pacific Econ. Lit.","","|","Asian-Pacific Economic Literature"
"","","p","Atlantic Econ. J.","","|","Atlantic Economic Journal"
"","","p","Aussenwirtschaft","","|","Aussenwirtschaft"
"","","p","Australasian J. Reg. Stud.","","|","Australasian Journal of Regional Studies"
"","","p","Australian Bull. Lab.","","|","Australian Bulletin of Labour"
"","","p","Australian Commodities Forecasts Issues","","|","Australian Commodities Forecasts and Issues"
"","","p","Australian Econ. Hist. Rev.","","|","Australian Economic History Review"
"","","p","Australian Econ. Pap.","","|","Australian Economic Papers"
"","","p","Australian Econ. Rev.","","|","Australian Economic Review"
"","","p","Australian J. Agr. Resource Econ.","","|","Australian Journal of Agricultural and Resource Economics"
"","","p","Australian J. Agr. Econ.","","|","Australian Journal of Agricultural Economics"
"","","p","Australian J. Lab. Econ.","","|","Australian Journal of Labour Economics"
"","","p","Australian J. Manage.","","|","Australian Journal of Management"
"","","p","Australian Tax Forum","","|","Australian Tax Forum"
"","","p","Banca Naz. Lavoro Quart. Rev.","","|","Banca Nazionale del Lavoro Quarterly Review"
"","","p","Bancaria","","|","Bancaria"
"","","p","Banco Espana Econ. Bull.","","|","Banco de Espana Economic Bulletin"
"","","p","Bangladesh Devel. Stud.","","|","Bangladesh Development Studies"
"","","p","Bangladesh Econ. Rev.","","|","Bangladesh Economic Review"
"","","p","Bank Engl. Quart. Bull.","","|","Bank of England Quarterly Bulletin"
"","","p","Bank Israel Banking Rev.","","|","Bank of Israel Banking Review"
"","","p","Bank Israel Econ. Rev.","","|","Bank of Israel Economic Review"
"","","p","Bank Japan Monet. Econ. Stud.","","|","Bank of Japan Monetary and Economic Studies"
"","","p","Bank Korea Econ. Pap.","","|","Bank of Korea Economic Papers"
"","","p","Bank Valletta Rev.","","|","Bank of Valletta Review"
"","","p","Banker","","|","Banker"
"","","p","Behavioral Res. Acc.","","|","Behavioral Research in Accounting"
"","","p","Bell J. Econ.","","|","Bell Journal of Economics"
"","","p","Bol. Mus. Soc. Argent.","","|","Boletin del Musea Social Argentino"
"","","p","Brazilian Electronic J. Econ.","","|","Brazilian Electronic Journal of Economics"
"","","p","Brazilian Rev. Econometrics","","|","Brazilian Review of Econometrics"
"","","p","Brit. J. Ind. Relat.","","|","British Journal of Industrial Relations"
"","","p","Brit. Rev. Econ. Issues","","|","British Review of Economic Issues"
"","","p","Brookings Pap. Econ. Act.","","|","Brookings Papers on Economic Activity"
"","","p","Brookings-Wharton Pap. Finan. Services","","|","Brookings-Wharton Papers on Financial Services"
"","","p","Brookings-Wharton Pap. Urban Aff.","","|","Brookings-Wharton Papers on Urban Affairs"
"","","p","Buffalo Law Rev.","","|","Buffalo Law Review"
"","","p","Bull. Int. Fiscal Doc.","","|","Bulletin for International Fiscal Documentation"
"","","p","Bull. Econ. Res.","","|","Bulletin of Economic Research"
"","","p","Bull. Indonesian Econ. Stud.","","|","Bulletin of Indonesian Economic Studies"
"","","p","Bull. Oxford Univ. Inst. Econ. Statist.","","|","Bulletin of the Oxford University Institute of Economics and Statistics"
"","","p","Bull. Univ. Osaka Prefect.","","|","Bulletin of University of Osaka Prefecture"
"","","p","Bus. Econ. Hist.","","|","Business and Economic History"
"","","p","Bus. Econ.","","|","Business Economics"
"","","p","Bus. Hist. Rev.","","|","Business History Review"
"","","p","Bus. Hist.","","|","Business History"
"","","p","Cah. Econ. Sociologie Rurales","","|","Cahiers d'Economie et Sociologie Rurales"
"","","p","Cah. Econ. Politique","","|","Cahiers d'Economie Politique"
"","","p","Cah. Econ. Bruxelles","","|","Cahiers Economiques de Bruxelles"
"","","p","Cah. Econ. Soc.","","|","Cahiers Economiques et Sociaux"
"","","p","Calif. Manage. Rev.","","|","California Management Review"
"","","p","Cambridge Econ. Pol. Rev.","","|","Cambridge Economic Policy Review"
"","","p","Cambridge J. Econ.","","|","Cambridge Journal of Economics"
"","","p","Can. Bus. Econ.","","|","Canadian Business Economics"
"","","p","Can. J. Agr. Econ.","","|","Canadian Journal of Agricultural Economics"
"","","p","Can. J. Devel. Stud.","","|","Canadian Journal of Development Studies"
"","","p","Can. J. Econ.","","|","Canadian Journal of Economics"
"","","p","Can. J. Reg. Sci.","","|","Canadian Journal of Regional Science"
"","","p","Can. Public Pol.","","|","Canadian Public Policy"
"","","p","Can. Tax J.","","|","Canadian Tax Journal"
"","","p","Carnegie-Rochester Conf. Ser. Public Pol.","","|","Carnegie-Rochester Conference Series on Public Policy"
"","","p","Cato J.","","|","Cato Journal"
"","","p","CEMLA Bol. Mens.","","|","CEMLA Boletin Mensual"
"","","p","Central Europ. J. Operations Res. Econ.","","|","Central European Journal for Operations Research and Economics"
"","","p","Central Europ. J. Operations Res.","","|","Central European Journal of Operations Research"
"","","p","CEPAL Rev.","","|","CEPAL Review"
"","","p","Challenge","","|","Challenge"
"","","p","China Econ. Rev.","","|","China Economic Review"
"","","p","China Quart.","","|","China Quarterly"
"","","p","Chinese Econ. Stud.","","|","Chinese Economic Studies"
"","","p","Chinese Economy","","|","Chinese Economy"
"","","p","CIRIEC-Espana, Revista Econ. Publica, Soc. Cooperativa","","|","CIRIEC-Espana, Revista de Economia Publica, Social y Cooperativa"
"","","p","Cityscape: J. Pol. Devel. Res.","","|","Cityscape: A Journal of Policy Development and Research"
"","","p","Coleccion Estud. CIEPLAN","","|","Coleccion Estudios CIEPLAN"
"","","p","Columbia J. World Bus.","","|","Columbia Journal of World Business"
"","","p","Comercio Exterior","","|","Comercio Exterior"
"","","p","Comertul Mod.","","|","Comertul Modern"
"","","p","Communications Strategies","","|","Communications and Strategies"
"","","p","Communist Economies Econ. Transformation","","|","Communist Economies and Economic Transformation"
"","","p","Compar. Econ. Stud.","","|","Comparative Economic Studies"
"","","p","Computational Econ.","","|","Computational Economics"
"","","p","Computer Sci. Econ. Manage.","","|","Computer Science in Economics and Management"
"","","p","Conflict Manage. Peace Sci. ","","|","Conflict Management and Peace Science"
"","","p","Consommation","","|","Consommation"
"","","p","Constit. Polit. Economy","","|","Constitutional Political Economy"
"","","p","Contemporary Econ. Pol.","","|","Contemporary Economic Policy"
"","","p","Contemp. Pol. Issues","","|","Contemporary Policy Issues"
"","","p","Contrib. to Polit. Economy","","|","Contributions to Political Economy"
"","","p","Critic. Rev.","","|","Critical Review"
"","","p","Cuadernos Econ.","","|","Cuadernos de Economia"
"","","p","Cuadernos de la C.V.F.","","|","Cuadernos de la C.V.F."
"","","p","Cuadernos Econ. I.C.E.","","|","Cuadernos Economicos de I.C.E."
"","","p","Cyprus J. Econ.","","|","Cyprus Journal of Economics"
"","","p","Cyprus Rev.","","|","Cyprus Review"
"","","p","Czech. Econ. Digest.","","|","Czechoslovak Economic Digest"
"","","p","Czech. Econ. Pap.","","|","Czechoslovak Economic Papers"
"","","p","Czech. J. Operations Res.","","|","Czechoslovak Journal for Operations Research"
"","","p","De Economia","","|","De Economia"
"","","p","De Economist","","|","De Economist"
"","","p","Defence Peace Econ.","","|","Defence and Peace Economics"
"","","p","Defence Econ.","","|","Defence Economics"
"","","p","Demogr. Econ.","","|","Demografia y Economia"
"","","p","Demography","","|","Demography"
"","","p","Der Donaurum","","|","Der Donaurum"
"","","p","Desarrollo Econ.","","|","Desarrollo Economico"
"","","p","Developing Economies","","|","Developing Economies"
"","","p","Devel. Change","","|","Development and Change"
"","","p","Devel. Southern Africa","","|","Development Southern Africa"
"","","p","Development","","|","Development"
"","","p","East African J. Rural Devel.","","|","East African Journal of Rural Development"
"","","p","East-West J. Econ. Bus.","","|","East-West Journal of Economics and Business"
"","","p","East-West Ser. Econ., Bus., Environ.","","|","East-West Series in Economics, Business, and the Environment"
"","","p","Eastern Africa Econ. Rev.","","|","Eastern Africa Economic Review"
"","","p","Eastern Econ. J.","","|","Eastern Economic Journal"
"","","p","Eastern Europ. Econ.","","|","Eastern European Economics"
"","","p","Ecolog. Econ.","","|","Ecological Economics"
"","","p","Economica (La Plata)","","|","Economica (National University of La Plata)"
"","","p","Econ. Chilena","","|","Economia Chilena"
"","","p","Econometric Rev.","","|","Econometric Reviews"
"","","p","Econometric Theory","","|","Econometric Theory"
"","","p","Econometrica","","|","Econometrica"
"","","p","Econometrics J.","","|","Econometrics Journal"
"","","p","Economia (Peru)","","|","Economia (Pontifical Catholic University of Peru)"
"","","p","Economia (Portugal)","","|","Economia (Portuguese Catholic University)"
"","","p","Econ. Aplicada/Brazilian J. Appl. Econ.","","|","Economia Aplicada/Brazilian Journal of Applied Economics"
"","","p","Econ. Scelte Pubbliche/J. Public Finance Public Choice","","|","Economia delle Scelte Pubbliche/Journal of Public Finance and Public Choice"
"","","p","Econ. Lavoro","","|","Economia e Lavoro"
"","","p","Econ. Ind.","","|","Economia Industrial"
"","","p","Econ. Int./Int. Econ.","","|","Economia Internazionale/International Economics"
"","","p","Econ. Int.","","|","Economia Internazionale"
"","","p","Econ. Mexicana, Nueva Epoca","","|","Economia Mexicana, Nueva Epoca"
"","","p","Econ. Politica","","|","Economia Politica"
"","","p","Econ. Aff.","","|","Economic Affairs"
"","","p","Econ. Anal. Pol., N.S.","","|","Economic Analysis and Policy, New Series"
"","","p","Econ. Anal. Pol.","","|","Economic Analysis and Policy"
"","","p","Econ. Anal. Workers' Manage.","","|","Economic Analysis and Workers' Management"
"","","p","Econ. Anal.","","|","Economic Analysis"
"","","p","Econ. Bus. Bull.","","|","Economic and Business Bulletin"
"","","p","Econ. Bus. Rev.","","|","Economic and Business Review"
"","","p","Econ. Finan. Modelling","","|","Economic and Financial Modelling"
"","","p","Econ. Finan. Rev.","","|","Economic and Financial Review"
"","","p","Econ. Ind. Democracy","","|","Economic and Industrial Democracy"
"","","p","Econ. Lab. Relat. Rev.","","|","Economic and Labour Relations Review"
"","","p","Econ. Soc. Rev.","","|","Economic and Social Review"
"","","p","Econ. Bull. Ghana, 2nd Ser.","","|","Economic Bulletin of Ghana, Second Series"
"","","p","Econ. Computat. Econ. Cybern. Stud. Res.","","|","Economic Computation and Economic Cybernetics Studies and Research"
"","","p","Econ. Design","","|","Economic Design"
"","","p","Econ. Devel. Cult. Change","","|","Economic Development and Cultural Change"
"","","p","Econ. Devel. Quart.","","|","Economic Development Quarterly"
"","","p","Econ. Forum","","|","Economic Forum"
"","","p","Econ. Geogr.","","|","Economic Geography"
"","","p","Econ. Hist. Rev., 2nd Ser.","","|","Economic History Review, Second Series"
"","","p","Econ. Hist. Rev.","","|","Economic History Review"
"","","p","Econ. Inquiry","","|","Economic Inquiry"
"","","p","Econ. Issues","","|","Economic Issues"
"","","p","Econ. J.","","|","Economic Journal"
"","","p","Econ. Modelling","","|","Economic Modelling"
"","","p","Econ. Notes","","|","Economic Notes"
"","","p","Econ. Perspect.","","|","Economic Perspectives"
"","","p","Econ. Pol. Rev.","","|","Economic Policy Review"
"","","p","Econ. Pol.: A Europ. Forum","","|","Economic Policy: A European Forum"
"","","p","Econ. Rec.","","|","Economic Record"
"","","p","Econ. Rev. (Keizai Kenkyu)","","|","Economic Review (Keizai Kenkyu)"
"","","p","Econ. Stud. Quart.","","|","Economic Studies Quarterly"
"","","p","Econ. Systems Res.","","|","Economic Systems Research"
"","","p","Econ. Systems","","|","Economic Systems"
"","","p","Econ. Theory","","|","Economic Theory"
"","","p","Economica, N.S.","","|","Economica, N.S."
"","","p","Economica","","|","Economica"
"","","p","Econ. Bus. Educ.","","|","Economics and Business Education"
"","","p","Econ. Philos.","","|","Economics and Philosophy"
"","","p","Econ. Politics","","|","Economics and Politics"
"","","p","Econ. Letters","","|","Economics Letters"
"","","p","Econ. Educ. Rev.","","|","Economics of Education Review"
"","","p","Econ. Governance","","|","Economics of Governance"
"","","p","Econ. Innovation New Tech.","","|","Economics of Innovation and New Technology"
"","","p","Econ. Planning ","","|","Economics of Planning"
"","","p","Econ. Transition","","|","Economics of Transition"
"","","p","Econ.: Biann. Collec. Recent Ger. Stud.","","|","Economics: A Biannual Collection of Recent German Studies"
"","","p","Econ.: J. Econ. Assoc.","","|","Economics: The Journal of the Economics Association"
"","","p","Economics","","|","Economics"
"","","p","Econ. Appl.","","|","Economie Appliquee"
"","","p","Econ. Prevision","","|","Economie et Prevision"
"","","p","Econ. Int.","","|","Economie Internationale"
"","","p","Econ. Rurale","","|","Economie Rurale"
"","","p","Econ. Soc.","","|","Economies et Societes"
"","","p","Econ. Soc. Tijdschr.","","|","Economisch en Sociaal Tijdschrift"
"","","p","Economy Hist.","","|","Economy and History"
"","","p","Economy Society","","|","Economy and Society"
"","","p","Educ. Econ.","","|","Education Economics"
"","","p","EIB Pap.","","|","EIB Papers"
"","","p","Ekonomia","","|","Ekonomia"
"","","p","Ekon.-Mat. Obzor","","|","Ekonomicko-Matematicky Obzor"
"","","p","Ekonomika Radvanskoyi Ukhayeny","","|","Ekonomika Radvanskoyi Ukhayeny"
"","","p","Ekon. Samfundets Tidskr.","","|","Ekonomiska Samfundets Tidskrift"
"","","p","Ekon. Istrazivanja/Econ. Res.","","|","Ekonomska Istrazivanja/Economic Research"
"","","p","Ekon. Misao Praksa","","|","Ekonomska Misao i Praksa"
"","","p","Trim. Econ.","","|","El Trimestre Economico"
"","","p","Empirica","","|","Empirica"
"","","p","Empirical Econ.","","|","Empirical Economics"
"","","p","Energy Econ.","","|","Energy Economics"
"","","p","Energy J.","","|","Energy Journal"
"","","p","Energy Stud. Rev.","","|","Energy Studies Review"
"","","p","Eng. Econ.","","|","Engineering Economist"
"","","p","Enterprise Society","","|","Enterprise and Society"
"","","p","Entrepreneurship Reg. Devel.","","|","Entrepreneurship and Regional Development"
"","","p","Environ. Devel. Econ.","","|","Environment and Development Economics"
"","","p","Environ. Planning A","","|","Environment and Planning A"
"","","p","Environ. Planning C: Govt. Pol.","","|","Environment and Planning C: Government and Policy"
"","","p","Environ. Resource Econ.","","|","Environmental and Resource Economics"
"","","p","Environ. Econ. Pol. Stud.","","|","Environmental Economics and Policy Studies"
"","","p","Environ. Values","","|","Environmental Values"
"","","p","Estud. de Econ.","","|","Estudios de Economia"
"","","p","Estud. Econ.","","|","Estudios Economicos"
"","","p","Estud. Empresariales","","|","Estudios Empresariales"
"","","p","Estud. Int.","","|","Estudios Internacionales"
"","","p","Estudos Econ.","","|","Estudos Economicos"
"","","p","Etud. Conjoncture","","|","Etudes et Conjoncture"
"","","p","Eurasian Geogr. Econ.","","|","Eurasian Geography and Economics"
"","","p","EuroChoices","","|","EuroChoices"
"","","p","Europ. Econ. Rev.","","|","European Economic Review"
"","","p","Europ. Finance Rev.","","|","European Finance Review"
"","","p","Europ. Finan. Manage.","","|","European Financial Management"
"","","p","Europ. J. Devel. Res.","","|","European Journal of Development Research"
"","","p","Europ. J. Finance","","|","European Journal of Finance"
"","","p","Europ. J. Housing Pol.","","|","European Journal of Housing Policy"
"","","p","Europ. J. Ind. Relat.","","|","European Journal of Industrial Relations"
"","","p","Europ. J. Int. Relat.","","|","European Journal of International Relations"
"","","p","Europ. J. Law Econ.","","|","European Journal of Law and Economics"
"","","p","Europ. J. Polit. Economy","","|","European Journal of Political Economy"
"","","p","Europ. J. Hist. Econ. Thought","","|","European Journal of the History of Economic Thought"
"","","p","Europ. Rev. Agr. Econ.","","|","European Review of Agricultural Economics"
"","","p","Europ. Rev. Econ. Hist.","","|","European Review of Economic History"
"","","p","Exper. Econ.","","|","Experimental Economics"
"","","p","Explorations Econ. Hist.","","|","Explorations in Economic History"
"","","p","Family Econ. Nutrition Rev.","","|","Family Economics and Nutrition Review"
"","","p","Family Econ. Rev.","","|","Family Economics Review"
"","","p","FDIC Banking Rev.","","|","FDIC Banking Review"
"","","p","Fed. Reserve Bank Bus. Rev. Phila.","","|","Federal Reserve Bank Business Review of Philadelphia"
"","","p","Fed. Reserve Bank Atlanta Econ. Rev.","","|","Federal Reserve Bank of Atlanta Economic Review"
"","","p","Fed. Reserve Bank Atlanta Rev.","","|","Federal Reserve Bank of Atlanta Monthly Review"
"","","p","Fed. Reserve Bank Boston New Eng. Econ. Rev.","","|","Federal Reserve Bank of Boston New England Economic Review"
"","","p","Fed. Reserve Bank Chicago Econ. Perspect.","","|","Federal Reserve Bank of Chicago Economic Perspectives"
"","","p","Fed. Reserve Bank Cleveland Econ. Rev.","","|","Federal Reserve Bank of Cleveland Economic Review"
"","","p","Fed. Reserve Bank Dallas Econ. Finan. Rev.","","|","Federal Reserve Bank of Dallas Economic and Financial Review"
"","","p","Fed. Reserve Bank Dallas Econ. Rev.","","|","Federal Reserve Bank of Dallas Economic Review"
"","","p","Fed. Reserve Bank Kansas City Econ. Rev.","","|","Federal Reserve Bank of Kansas City Economic Review"
"","","p","Fed. Reserve Bank Kansas City Rev.","","|","Federal Reserve Bank of Kansas City Monthly Review"
"","","p","Fed. Reserve Bank Minneapolis Quart. Rev.","","|","Federal Reserve Bank of Minneapolis Quarterly Review"
"","","p","Fed. Reserve Bank New York Econ. Pol. Rev.","","|","Federal Reserve Bank of New York Economic Policy Review"
"","","p","Fed. Reserve Bank New York Rev.","","|","Federal Reserve Bank of New York Monthly Review"
"","","p","Fed. Reserve Bank New York Quart. Rev.","","|","Federal Reserve Bank of New York Quarterly Review"
"","","p","Fed. Reserve Bank Philadelphia Bus. Rev.","","|","Federal Reserve Bank of Philadelphia Business Review"
"","","p","Fed. Reserve Bank Richmond Econ. Quart.","","|","Federal Reserve Bank of Richmond Economic Quarterly"
"","","p","Fed. Reserve Bank Richmond Econ. Rev.","","|","Federal Reserve Bank of Richmond Economic Review"
"","","p","Fed. Reserve Bank San Francisco Econ. Rev.","","|","Federal Reserve Bank of San Francisco Economic Review"
"","","p","Fed. Reserve Bank San Francisco Rev.","","|","Federal Reserve Bank of San Francisco Monthly Review"
"","","p","Fed. Reserve Bank St. Louis Rev.","","|","Federal Reserve Bank of St. Louis Review"
"","","p","Fed. Reserve Bull.","","|","Federal Reserve Bulletin"
"","","p","Feminist Econ.","","|","Feminist Economics"
"","","p","Finance Uver","","|","Finance a Uver"
"","","p","Finance Devel.","","|","Finance and Development"
"","","p","Finance Stochastics","","|","Finance and Stochastics"
"","","p","Finance Trade Rev.","","|","Finance and Trade Review"
"","","p","Finance India","","|","Finance India"
"","","p","Finance","","|","Finance"
"","","p","Finan. Eng. Japanese Markets","","|","Financial Engineering and the Japanese Markets"
"","","p","Finan. Hist. Rev.","","|","Financial History Review"
